HLTV Score,Team Name,Team ID,Logo URL,Players
997,spirit,7020,https://img-cdn.hltv.org/teamlogo/syrtYYKR7sBRw3ZHy1YFX7.png?ixlib=java-2.1.0&w=50&s=40e66714687bec05ea422255b1c0099e,"chopper (ID: 7716), sh1ro (ID: 16920), magixx (ID: 18317), zont1x (ID: 20423), donk (ID: 21167)"
917,vitality,9565,https://img-cdn.hltv.org/teamlogo/ogcHrcCdzRvxbYvAz04KAN.png?ixlib=java-2.1.0&w=50&s=e1f6019aa9f274ffe45a5e99c88dbc02,"apEX (ID: 7322), ZywOo (ID: 11893), flameZ (ID: 16693), Spinx (ID: 18221), mezii (ID: 18462)"
887,mouz,4494,https://img-cdn.hltv.org/teamlogo/IejtXpquZnE8KqYPB1LNKw.svg?ixlib=java-2.1.0&s=7fd33b8def053fbfd8fdbb58e3bdcd3c,"Brollan (ID: 13666), siuhy (ID: 16820), torzsi (ID: 18072), Jimpphat (ID: 18850), xertioN (ID: 20312)"
794,faze,6667,https://img-cdn.hltv.org/teamlogo/m-wCSia4m35BeWhGzB9yv1.png?ixlib=java-2.1.0&w=50&s=caa750c895f426b49da90ed25c6f9fe9,"karrigan (ID: 429), rain (ID: 8183), frozen (ID: 9960), ropz (ID: 11816), broky (ID: 18053)"
739,natus-vincere,4608,https://img-cdn.hltv.org/teamlogo/9iMirAi7ArBLNU8p3kqUTZ.svg?ixlib=java-2.1.0&s=4dd8635be16122656093ae9884675d0c,"Aleksib (ID: 9816), iM (ID: 14759), b1t (ID: 18987), jL (ID: 19206), w0nderful (ID: 20127)"
570,g2,5995,https://img-cdn.hltv.org/teamlogo/zFLwAELOD15BjJSDMMNBWQ.png?ixlib=java-2.1.0&w=50&s=affb583e6716d8ee904826992255cc4b,"NiKo (ID: 3741), huNter- (ID: 3972), HooXi (ID: 10096), m0NESY (ID: 19230)"
393,virtuspro,5378,https://img-cdn.hltv.org/teamlogo/yZ6Bpuui1rW3jocXQ68XgZ.svg?ixlib=java-2.1.0&s=f39be1d3e7baf30a4e7f0b1216720875,"electroNic (ID: 8918), FL1T (ID: 12732), Jame (ID: 13776), n0rb3r7 (ID: 16612), fame (ID: 20101)"
381,astralis,6665,https://img-cdn.hltv.org/teamlogo/9bgXHp-oh1oaXr7F0mTGmd.svg?ixlib=java-2.1.0&s=f567161ab183001be33948b98c4b2067,"device (ID: 7592), stavn (ID: 10994), br0 (ID: 16717), jabbi (ID: 17956), Staehr (ID: 20304)"
332,complexity,5005,https://img-cdn.hltv.org/teamlogo/R0CzydpyX02BnkAYhy3I89.svg?ixlib=java-2.1.0&s=8c5833d6069ef924fdbb2e220fefea00,"EliGE (ID: 8738), JT (ID: 11630), floppy (ID: 12713), hallzerk (ID: 12840), Grim (ID: 13578)"
288,heroic,7175,https://img-cdn.hltv.org/teamlogo/6LVaK1MVX06kO1ChAq22v6.svg?ixlib=java-2.1.0&s=1ad0be7366aab3ef6825996762c3e615,"NertZ (ID: 9436), TeSeS (ID: 12018), sjuush (ID: 14148), degster (ID: 17306), kyxsan (ID: 19677)"
263,the-mongolz,6248,https://img-cdn.hltv.org/teamlogo/bRk2sh_tSTO6fq1GLhgcal.png?ixlib=java-2.1.0&w=50&s=8b08e53858eb817852ae74b30a30151d,"bLitz (ID: 20194), Techno (ID: 20275), Senzu (ID: 20903), mzinho (ID: 21001), 910 (ID: 21809)"
254,9z,9996,https://img-cdn.hltv.org/teamlogo/COZDFWOIm41AT0srqOHFhM.png?invert=true&ixlib=java-2.1.0&sat=-100&w=50&s=b00d55fe74b90f91c5b7e2b58bda5afb,"max (ID: 12092), dgt (ID: 14736), buda (ID: 20607), MartinezSa (ID: 21239), HUASOPEEK (ID: 22613)"
235,eternal-fire,11251,https://img-cdn.hltv.org/teamlogo/Tafdq71X3B_-73b73bAixr.png?ixlib=java-2.1.0&w=50&s=f1505e0f7e03bed0d0d2b4c809768198,"MAJ3R (ID: 150), XANTARES (ID: 7938), woxic (ID: 8574), Calyx (ID: 8575), Wicadia (ID: 21243)"
226,liquid,5973,https://img-cdn.hltv.org/teamlogo/JMeLLbWKCIEJrmfPaqOz4O.svg?ixlib=java-2.1.0&s=c02caf90234d3a3ebac074c84ba1ea62,"NAF (ID: 8520), Twistzz (ID: 10394), YEKINDAR (ID: 13915), skullz (ID: 18676)"
226,falcons,11283,https://img-cdn.hltv.org/teamlogo/4eJSkDQINNM6Tbs4WvLzkN.png?ixlib=java-2.1.0&w=50&s=d8c857ea47046f61eca695beab0d12ef,"Snappi (ID: 922), dupreeh (ID: 7398), Magisk (ID: 9032), Maden (ID: 11777), SunPayus (ID: 19164)"
141,big,7532,https://img-cdn.hltv.org/teamlogo/OgMRQA35hopXA8kDwMFHIY.svg?ixlib=java-2.1.0&s=ec7bc44165c7acf4224a22a1338ab7d7,"tabseN (ID: 5794), syrsoN (ID: 7266), JDC (ID: 14929), prosus (ID: 19284), Krimbo (ID: 19899)"
140,ninjas-in-pyjamas,4411,https://img-cdn.hltv.org/teamlogo/-ttGATBV_P_HcZazxNNtIb.png?ixlib=java-2.1.0&w=50&s=ba94f7812d1f47183a83f3f34ab959eb,"alex (ID: 8371), REZ (ID: 9278), isak (ID: 17937), r1nkle (ID: 20425), maxster (ID: 20879)"
133,betboom,12394,https://img-cdn.hltv.org/teamlogo/WRXGgomxuC0jcfe6Umeisf.png?ixlib=java-2.1.0&w=50&s=a49bc59530334f1d236ab7d91d957855,"zorte (ID: 15662), nafany (ID: 16921), s1ren (ID: 18506), KaiR0N- (ID: 19920), Magnojez (ID: 21667)"
129,furia,8297,https://img-cdn.hltv.org/teamlogo/mvNQc4csFGtxXk5guAh8m1.svg?ixlib=java-2.1.0&s=11e5056829ad5d6c06c5961bbe76d20c,"FalleN (ID: 2023), chelo (ID: 10566), yuurih (ID: 12553), KSCERATO (ID: 15631)"
124,flyquest,12774,https://img-cdn.hltv.org/teamlogo/fmqTgF6Ziw0uied7MO3_ri.png?ixlib=java-2.1.0&w=50&s=255b5a4c460ad03161509ff7eb77b2dc,"dexter (ID: 9115), Liazz (ID: 10588), aliStair (ID: 11139), INS (ID: 11140), Vexite (ID: 17384)"
